3917654.py, use of shell arguments, 144
3527546.py, hardcoded secret, 105
3527546.py, sql injection, 25
3527546.py, sql injection, 33
3527546.py, sql injection, 61
3527546.py, sql injection, 74
3527546.py, sql injection, 80
2325034.py, use of http without tls, 396
1085780.py, use of http without tls, 6
1085780.py, ignoring except block, 16
75071170d3b96ebe4493.py, use of http without tls, 113
75071170d3b96ebe4493.py, use of http without tls, 160
75071170d3b96ebe4493.py, use of http without tls, 167
8827718.py, use of shell arguments, 9
7116554.py, ignoring except block, 10
4514450.py, hardcoded secret, 4
155b6af97fdbd217ddca3f9f919ee02a.py, hardcoded secret, 200
155b6af97fdbd217ddca3f9f919ee02a.py, use of shell arguments, 176
b900be34c58b1f3fa7467b4876f2b5b3.py, empty password, 63
b900be34c58b1f3fa7467b4876f2b5b3.py, use of http without tls, 9
b900be34c58b1f3fa7467b4876f2b5b3.py, use of shell arguments, 70
b900be34c58b1f3fa7467b4876f2b5b3.py, use of shell arguments, 72
b900be34c58b1f3fa7467b4876f2b5b3.py, hardcoded secret, 92
b900be34c58b1f3fa7467b4876f2b5b3.py, hardcoded secret, 92
b900be34c58b1f3fa7467b4876f2b5b3.py, hardcoded secret, 92
b900be34c58b1f3fa7467b4876f2b5b3.py, ignoring except block, 33
c71f241125ed879d4af7.py, use of shell arguments, 72
1172549.py, use of http without tls, 556
1172549.py, use of http without tls, 632
1172549.py, hardcoded secret, 620
3f22c5ed5dabf1815f16efa8fa53d476.py, hardcoded secret, 204
f6131a8fa84c16ccc206.py, use of shell arguments, 13
f6131a8fa84c16ccc206.py, ignoring except block, 250
aeab43fab80d315932b32df0ec862920.py, hardcoded secret, 6
d11452963fb0570fb461.py, use of http without tls, 7
1288160dad16cc473a53.py, use of http without tls, 3
8044909.py, use of shell arguments, 205
8044909.py, use of shell arguments, 250
8044909.py, ignoring except block, 157
8044909.py, ignoring except block, 161
8044909.py, ignoring except block, 308
ee765f0abc8f1de6934c.py, shell injection, 25
ee765f0abc8f1de6934c.py, shell injection, 25
3385357.py, use of http without tls, 123
3385357.py, hardcoded secret, 53
3385357.py, DEBUG True in deployment, 126
61cab8fbd02351d3047e.py, hardcoded secret, 33
85a3eab09fefbb3bee5d.py, shell injection, 22
85a3eab09fefbb3bee5d.py, shell injection, 58
85a3eab09fefbb3bee5d.py, shell injection, 59
2049083.py, use of http without tls, 23
2049083.py, shell injection, 71
2049083.py, bad file permission, 84
2049083.py, ignoring except block, 56
5143963.py, use of tmp directory, 49
6880761.py, shell injection, 12
6880761.py, shell injection, 12
6880761.py, shell injection, 18
6880761.py, shell injection, 18
6880761.py, shell injection, 28
6880761.py, shell injection, 28
6880761.py, shell injection, 49
6880761.py, shell injection, 49
6880761.py, shell injection, 64
6880761.py, shell injection, 64
1855468.py, hardcoded secret, 16
3083085.py, hardcoded secret, 27
3083085.py, use of http without tls, 25
3083085.py, use of http without tls, 54
3083085.py, use of http without tls, 70
3083085.py, shell injection, 34
3083085.py, shell injection, 80
3083085.py, shell injection, 81
3083085.py, shell injection, 84
8a7297838593287195b0.py, use of shell arguments, 27
8a7297838593287195b0.py, hardcoded secret, 12
7625935.py, shell injection, 34
7625935.py, use of shell arguments, 70
821667.py, shell injection, 105
821667.py, shell injection, 106
821667.py, ignoring except block, 114
7e6422a491d93e1e3219.py, use of tmp directory, 49
ed6d9ffe27839e2ffd168ec77a826b38.py, shell injection, 15
ed6d9ffe27839e2ffd168ec77a826b38.py, shell injection, 22
ed6d9ffe27839e2ffd168ec77a826b38.py, shell injection, 26
ed6d9ffe27839e2ffd168ec77a826b38.py, shell injection, 30
ed6d9ffe27839e2ffd168ec77a826b38.py, shell injection, 34
ed6d9ffe27839e2ffd168ec77a826b38.py, use of shell arguments, 39
28d385a68dddc1064f3a.py, hardcoded secret, 4
28d385a68dddc1064f3a.py, hardcoded secret, 4
08df2a3b9b0f8c56873a60eef1706a1e.py, use of shell arguments, 8
08df2a3b9b0f8c56873a60eef1706a1e.py, use of shell arguments, 9
c577716bd2f15b9ca330b15443e8bfbe.py, use of tmp directory, 11
c577716bd2f15b9ca330b15443e8bfbe.py, use of tmp directory, 40
c577716bd2f15b9ca330b15443e8bfbe.py, use of tmp directory, 56
c577716bd2f15b9ca330b15443e8bfbe.py, use of tmp directory, 59
c577716bd2f15b9ca330b15443e8bfbe.py, shell injection, 11
c577716bd2f15b9ca330b15443e8bfbe.py, shell injection, 59
2894704.py, ignoring except block, 39
bb640cebefcc550f357c.py, use of tmp directory, 77
1d7cb531bb8fff8c228b7710126bcc33.py, use of shell arguments, 19
1d7cb531bb8fff8c228b7710126bcc33.py, use of shell arguments, 29
096f3b651b268b7af4c8c32475fa23d1.py, use of http without tls, 10
096f3b651b268b7af4c8c32475fa23d1.py, shell injection, 26
096f3b651b268b7af4c8c32475fa23d1.py, shell injection, 29
71dc46d292ecfdc37e4e.py, use of http without tls, 9
2974887f3fab071c11a0.py, empty password, 40
2974887f3fab071c11a0.py, use of http without tls, 38
2974887f3fab071c11a0.py, use of shell arguments, 240
b7991ab491384e3c3331.py, use of shell arguments, 40
814870.py, hardcoded secret, 2
814870.py, hardcoded secret, 11
814870.py, hardcoded secret, 13
814870.py, hardcoded secret, 18
814870.py, hardcoded secret, 18
25e42a0d29e5c12785d0.py, use of shell arguments, 51
4d6b7ea38a28681a513a.py, use of http without tls, 6
4d6b7ea38a28681a513a.py, use of http without tls, 15
fc0e98c8c486be80d5a5.py, use of http without tls, 3
d3652f98218a5e486005.py, use of http without tls, 9
d3652f98218a5e486005.py, shell injection, 63
4e9362acdc5db33ae16c.py, hardcoded secret, 25
4e9362acdc5db33ae16c.py, hardcoded secret, 26
4e9362acdc5db33ae16c.py, empty password, 22
4e9362acdc5db33ae16c.py, hardcoded secret, 45
4e9362acdc5db33ae16c.py, DEBUG True in deployment, 53
566362.py, hardcoded secret, 6
5675359.py, shell injection, 26
5675359.py, shell injection, 31
5675359.py, shell injection, 32
5675359.py, shell injection, 41
5675359.py, shell injection, 49
2032745.py, use of http without tls, 67
2788978.py, ignoring except block, 11
4659409.py, hardcoded secret, 9
4659409.py, hardcoded secret, 9
36834b68b7b4d6366f38.py, hardcoded secret, 55
36834b68b7b4d6366f38.py, use of http without tls, 106
1355170.py, ignoring except block, 38
13623f68e36fdad4cb67.py, use of http without tls, 125
13623f68e36fdad4cb67.py, use of tmp directory, 154
13623f68e36fdad4cb67.py, use of tmp directory, 155
13623f68e36fdad4cb67.py, use of http without tls, 184
13623f68e36fdad4cb67.py, hardcoded secret, 209
13623f68e36fdad4cb67.py, hardcoded secret, 118
13623f68e36fdad4cb67.py, shell injection, 129
13623f68e36fdad4cb67.py, shell injection, 151
13623f68e36fdad4cb67.py, shell injection, 206
13623f68e36fdad4cb67.py, shell injection, 209
13623f68e36fdad4cb67.py, ignoring except block, 194
13623f68e36fdad4cb67.py, sql injection, 104
cc77dd554d73f866f085.py, use of shell arguments, 31
cc77dd554d73f866f085.py, ignoring except block, 26
759737dc06b290a009352d3307782a2b.py, use of http without tls, 9
b77f6d62a595ae329e41.py, use of shell arguments, 9
b77f6d62a595ae329e41.py, ignoring except block, 66
46e5d3154cda92ce3e0f.py, shell injection, 38
2735065.py, use of http without tls, 4
0cbadce5816b6ab10eb2.py, hardcoded secret, 54
0cbadce5816b6ab10eb2.py, hardcoded secret, 54
0cbadce5816b6ab10eb2.py, hardcoded secret, 64
0f347c8d789402a09f2e.py, shell injection, 5
937a24bffda881edb5ff5680571c5714.py, sql injection, 54
6165148.py, use of http without tls, 12
6165148.py, shell injection, 47
6165148.py, shell injection, 56
1331656.py, hardcoded secret, 1
1331656.py, hardcoded secret, 7
5079405.py, use of http without tls, 34
69da10ec6f22c6d7b92deefdb4a4f475.py, ignoring except block, 21
69da10ec6f22c6d7b92deefdb4a4f475.py, ignoring except block, 72
8777429.py, use of http without tls, 17
8777429.py, use of http without tls, 28
ec92808750a3577a0d68.py, hardcoded secret, 2
ec92808750a3577a0d68.py, use of http without tls, 5
7719991351343a92aa7b654d2b36c8db.py, use of shell arguments, 66
7381407.py, use of shell arguments, 99
c648d753e7d0176ff172.py, use of http without tls, 3
6502fbf55ecdf988aa247ef7f60a9546.py, use of tmp directory, 39
6502fbf55ecdf988aa247ef7f60a9546.py, use of tmp directory, 79
3978536.py, shell injection, 30
3978536.py, shell injection, 30
267147.py, shell injection, 6
a6eb692e5a0af7cc266b.py, use of shell arguments, 132
3272957.py, use of shell arguments, 34
3272957.py, ignoring except block, 11
3272957.py, sql injection, 63
3272957.py, sql injection, 67
3272957.py, sql injection, 76
a7733a15cbf6c0cd9fba.py, shell injection, 57
d1406b58daaf790b465b.py, use of shell arguments, 6
1572219.py, hardcoded secret, 6
1572219.py, hardcoded secret, 7
1572219.py, hardcoded secret, 9
1572219.py, use of http without tls, 13
867064.py, ignoring except block, 13
2689784.py, use of http without tls, 14
2689784.py, use of shell arguments, 20
79d38da49cb4f4a511d74d780e53743a.py, use of shell arguments, 59
79d38da49cb4f4a511d74d780e53743a.py, use of shell arguments, 64
79d38da49cb4f4a511d74d780e53743a.py, use of shell arguments, 76
79d38da49cb4f4a511d74d780e53743a.py, use of shell arguments, 77
79d38da49cb4f4a511d74d780e53743a.py, use of shell arguments, 78
79d38da49cb4f4a511d74d780e53743a.py, use of shell arguments, 79
79d38da49cb4f4a511d74d780e53743a.py, use of shell arguments, 82
79d38da49cb4f4a511d74d780e53743a.py, use of shell arguments, 87
79d38da49cb4f4a511d74d780e53743a.py, use of shell arguments, 93
79d38da49cb4f4a511d74d780e53743a.py, use of shell arguments, 95
504eb5482fc73f046f6b.py, use of shell arguments, 38
2246766.py, use of shell arguments, 97
772171.py, sql injection, 20
772171.py, sql injection, 25
772171.py, sql injection, 31
2016e4de9a2465cef920.py, shell injection, 48
2016e4de9a2465cef920.py, shell injection, 58
2016e4de9a2465cef920.py, ignoring except block, 71
9492439.py, use of http without tls, 10
9492439.py, hardcoded secret, 45
b0e95087771dbefa386f.py, use of http without tls, 10
b0e95087771dbefa386f.py, use of tmp directory, 79
b0e95087771dbefa386f.py, use of tmp directory, 87
b0e95087771dbefa386f.py, shell injection, 43
b0e95087771dbefa386f.py, shell injection, 83
b0e95087771dbefa386f.py, shell injection, 88
b0e95087771dbefa386f.py, shell injection, 91
b0e95087771dbefa386f.py, shell injection, 94
b0e95087771dbefa386f.py, shell injection, 103
b0e95087771dbefa386f.py, shell injection, 104
b0e95087771dbefa386f.py, shell injection, 105
ce648166902041fbc613.py, DEBUG True in deployment, 80
3363569.py, use of shell arguments, 6
6800eae10ce082bb78f0b7a2cca5cbc2.py, hardcoded secret, 5
6800eae10ce082bb78f0b7a2cca5cbc2.py, use of tmp directory, 26
5855334.py, use of shell arguments, 42
4745061.py, use of http without tls, 4
9de837d2ccc24b483a2e.py, hardcoded secret, 13
9de837d2ccc24b483a2e.py, use of http without tls, 14
9de837d2ccc24b483a2e.py, use of http without tls, 15
4230847.py, hardcoded secret, 29
a5d0cab4bde185b38404.py, hardcoded secret, 40
a5d0cab4bde185b38404.py, hardcoded secret, 41
a5d0cab4bde185b38404.py, use of shell arguments, 141
a5d0cab4bde185b38404.py, hardcoded secret, 193
a5d0cab4bde185b38404.py, hardcoded secret, 193
254d896a262d7438dff7.py, use of shell arguments, 16
47a0c3d70644b2c0ac8c.py, hardcoded secret, 6
47a0c3d70644b2c0ac8c.py, hardcoded secret, 11
3984959.py, use of http without tls, 40
cec4596ca6a846f16b39.py, use of http without tls, 37
5dba231746499e11d5c916162c5cc51e.py, hardcoded secret, 17
5dba231746499e11d5c916162c5cc51e.py, hardcoded secret, 18
5dba231746499e11d5c916162c5cc51e.py, use of http without tls, 69
5dba231746499e11d5c916162c5cc51e.py, use of shell arguments, 112
4199233.py, use of http without tls, 22
5568593.py, shell injection, 16
29e04da9a0410fd672d1e29b65908808.py, shell injection, 33
29e04da9a0410fd672d1e29b65908808.py, shell injection, 34
29e04da9a0410fd672d1e29b65908808.py, shell injection, 61
4488436.py, hardcoded secret, 17
4488436.py, use of http without tls, 52
4488436.py, shell injection, 30
4488436.py, shell injection, 34
4488436.py, shell injection, 76
d03a49767c7c307be5ed.py, use of http without tls, 8
1709069.py, use of shell arguments, 63
1709069.py, use of shell arguments, 64
943949.py, use of http without tls, 13
943949.py, use of http without tls, 34
943949.py, use of http without tls, 38
943949.py, use of http without tls, 49
943949.py, use of http without tls, 49
943949.py, use of shell arguments, 55
943949.py, use of shell arguments, 57
943949.py, shell injection, 76
943949.py, shell injection, 79
943949.py, ignoring except block, 28
765526.py, use of http without tls, 72
765526.py, use of shell arguments, 68
e4c862c8b7a64fd40ba69648e497eaf0.py, use of shell arguments, 54
4173534.py, use of http without tls, 197
4173534.py, use of http without tls, 198
4173534.py, use of http without tls, 199
4173534.py, use of http without tls, 200
e488235d732b7becda81.py, hardcoded secret, 70
b53cc1e0482411e4b53d74bd12a485c1.py, use of http without tls, 4
b53cc1e0482411e4b53d74bd12a485c1.py, use of http without tls, 4
b53cc1e0482411e4b53d74bd12a485c1.py, use of http without tls, 4
f884a43c59e26199591ec4e234d069f5.py, ignoring except block, 79
f884a43c59e26199591ec4e234d069f5.py, ignoring except block, 301
5289693.py, use of http without tls, 45
5289693.py, use of shell arguments, 18
3c8e39647224be97daab.py, hardcoded secret, 40
5e82d57c915efafa769f.py, use of shell arguments, 32
5e82d57c915efafa769f.py, shell injection, 39
5e82d57c915efafa769f.py, hardcoded secret, 62
5e82d57c915efafa769f.py, hardcoded secret, 83
5e82d57c915efafa769f.py, hardcoded secret, 109
5e82d57c915efafa769f.py, hardcoded secret, 134
5e82d57c915efafa769f.py, hardcoded secret, 139
5e82d57c915efafa769f.py, hardcoded secret, 144
5e82d57c915efafa769f.py, hardcoded secret, 147
5e82d57c915efafa769f.py, hardcoded secret, 175
d19926abee9e8fd5c799e03a8a64a03b.py, use of shell arguments, 112
c65184841c246a484768b4c252880fe3.py, empty password, 10
c65184841c246a484768b4c252880fe3.py, empty password, 11
c65184841c246a484768b4c252880fe3.py, empty password, 12
2e0cbef7d50e8e7ef2d2.py, shell injection, 52
a7eb492db4f35b66e591.py, no use of cert validation, 28
a7eb492db4f35b66e591.py, hardcoded secret, 28
5ba3bd5c0f665c40828ba191fe50eec9.py, shell injection, 5
6198335.py, hardcoded secret, 7
6198335.py, hardcoded secret, 7
6198335.py, sql injection, 67
d0a8bb6e15cb6c9a3472d424c344ce73.py, hardcoded secret, 174
d0a8bb6e15cb6c9a3472d424c344ce73.py, hardcoded secret, 174
d0a8bb6e15cb6c9a3472d424c344ce73.py, hardcoded secret, 163
d0a8bb6e15cb6c9a3472d424c344ce73.py, hardcoded secret, 163
749788.py, use of http without tls, 27
749788.py, use of http without tls, 98
749788.py, use of http without tls, 128
749788.py, use of http without tls, 186
0efcacfb43827ba3a6bac3356315c419.py, hardcoded secret, 34
5a9a8dd4822b1178129f58b185186c75.py, shell injection, 12
5a9a8dd4822b1178129f58b185186c75.py, shell injection, 18
5a9a8dd4822b1178129f58b185186c75.py, shell injection, 24
5a9a8dd4822b1178129f58b185186c75.py, shell injection, 33
8e63614cad93f6ecbf560d2934a537a5.py, hardcoded secret, 10
8e63614cad93f6ecbf560d2934a537a5.py, hardcoded secret, 11
8e63614cad93f6ecbf560d2934a537a5.py, hardcoded secret, 11
8e63614cad93f6ecbf560d2934a537a5.py, hardcoded secret, 24
8224244.py, ignoring except block, 60
477698.py, use of shell arguments, 44
722ccf16dff7f0030e5d971ea5486d61.py, use of shell arguments, 25
7543d651b84a94b639ff.py, use of http without tls, 71
5620075.py, hardcoded secret, 7
5620075.py, hardcoded secret, 11
3840816.py, hardcoded secret, 44
0db840f27f1f0fd0747f13ab80d0ca37.py, use of http without tls, 6
976c7978bbcef99f3456cc36d57352e7.py, exec used, 54
b09f45e112b226b97a36.py, use of shell arguments, 7
b09f45e112b226b97a36.py, use of shell arguments, 16
f17242d1b76c068834c2.py, shell injection, 34
f17242d1b76c068834c2.py, shell injection, 35
3397251.py, hardcoded secret, 6
3397251.py, hardcoded secret, 10
3397251.py, hardcoded secret, 10
8169809.py, use of http without tls, 6
51b247080976cb41fe93.py, empty password, 2
5490d8c0f86a0fff99e0b3e0d34205ad.py, use of shell arguments, 232
956145752a649054bd50.py, use of shell arguments, 30
956145752a649054bd50.py, use of shell arguments, 34
1022880.py, use of shell arguments, 133
1022880.py, shell injection, 22
b26bc0333cc18660d07baeb923ce9021.py, use of shell arguments, 195
b26bc0333cc18660d07baeb923ce9021.py, shell injection, 246
b26bc0333cc18660d07baeb923ce9021.py, shell injection, 250
2343062.py, use of http without tls, 13
2343062.py, use of http without tls, 37
2343062.py, use of http without tls, 38
2343062.py, use of http without tls, 78
2343062.py, use of shell arguments, 9
2343062.py, use of shell arguments, 10
2343062.py, use of shell arguments, 11
dbcc5201c86765d2a0c2.py, use of http without tls, 4
5761d36b3db9a9b15970f974de416e59.py, ignoring except block, 13
2692960.py, use of shell arguments, 106
2692960.py, ignoring except block, 29
2692960.py, ignoring except block, 80
947731.py, hardcoded secret, 29
947731.py, ignoring except block, 94
5175896.py, hardcoded secret, 66
5945865.py, use of shell arguments, 5
be88f2a3e1526a07d01c392bde49d902.py, use of http without tls, 24
be88f2a3e1526a07d01c392bde49d902.py, hardcoded secret, 87
b4ea0034839ccbc2aa03.py, hardcoded secret, 4
b4ea0034839ccbc2aa03.py, hardcoded secret, 5
b4ea0034839ccbc2aa03.py, hardcoded secret, 7
b4ea0034839ccbc2aa03.py, hardcoded secret, 7
1310549.py, hardcoded secret, 47
1310549.py, hardcoded secret, 47
37269d09d37f18a70c9ec867b442ac52.py, empty password, 11
37269d09d37f18a70c9ec867b442ac52.py, empty password, 12
37269d09d37f18a70c9ec867b442ac52.py, empty password, 13
37269d09d37f18a70c9ec867b442ac52.py, use of shell arguments, 75
1140516.py, hardcoded secret, 25
71613d11783d6ed03f25.py, hardcoded secret, 27
3757975.py, use of shell arguments, 20
40ce1cda9afd6a922fbe.py, use of http without tls, 33
40ce1cda9afd6a922fbe.py, use of http without tls, 39
a20ae638601d2fac476e.py, use of shell arguments, 109
a20ae638601d2fac476e.py, shell injection, 110
9768713.py, use of http without tls, 61
5041434.py, hardcoded secret, 19
098f399d69f230521ef530baca832e76.py, use of http without tls, 32
660185.py, hardcoded secret, 25
b17732fe8eb828be8328.py, hardcoded secret, 7
b17732fe8eb828be8328.py, hardcoded secret, 8
06b38554103aa7120337.py, shell injection, 60
3308963.py, use of shell arguments, 13
4d7afed1dadb457bba977bd3757c1e29.py, use of tmp directory, 49
4d7afed1dadb457bba977bd3757c1e29.py, use of tmp directory, 85
2251516.py, use of http without tls, 13
e7c9aae63fb7973e4d64cff969a78ae8.py, ignoring except block, 46
1443543.py, use of shell arguments, 16
5360542.py, use of shell arguments, 98
5360542.py, use of shell arguments, 99
7781996.py, hardcoded secret, 5
7781996.py, hardcoded secret, 6
5985681.py, ignoring except block, 77
5985681.py, ignoring except block, 82
5985681.py, ignoring except block, 106
5985681.py, ignoring except block, 111
4091897.py, shell injection, 81
867589.py, shell injection, 22
c67039252268ec5e66ba.py, use of shell arguments, 38
c67039252268ec5e66ba.py, hardcoded secret, 255
2392540.py, hardcoded secret, 123
2392540.py, hardcoded secret, 123
2392540.py, hardcoded secret, 113
2392540.py, hardcoded secret, 116
28431.py, use of http without tls, 15
1d7b138b9c4e80231f6f.py, shell injection, 146
1d7b138b9c4e80231f6f.py, shell injection, 150
1d7b138b9c4e80231f6f.py, shell injection, 154
1d7b138b9c4e80231f6f.py, shell injection, 162
1d7b138b9c4e80231f6f.py, use of shell arguments, 171
1082570.py, use of http without tls, 20
1082570.py, use of http without tls, 26
d8e679ebfeb9748e8e55.py, use of http without tls, 10
d8e679ebfeb9748e8e55.py, use of shell arguments, 41
e3fde11eb4586064ab39df21bcdbaab3.py, shell injection, 6
e3fde11eb4586064ab39df21bcdbaab3.py, shell injection, 30
9b7787a607a5a676c6d8.py, use of http without tls, 26
3362848.py, shell injection, 6
3362848.py, shell injection, 7
3362848.py, shell injection, 18
1ddc318b4124ed152f6d.py, shell injection, 80
99b4064cbbcbf6a73963.py, ignoring except block, 43
2ae8f7df344f85fb4431.py, use of http without tls, 26
2ae8f7df344f85fb4431.py, use of http without tls, 27
2ae8f7df344f85fb4431.py, use of http without tls, 29
2ae8f7df344f85fb4431.py, use of http without tls, 30
2ae8f7df344f85fb4431.py, use of http without tls, 32
2ae8f7df344f85fb4431.py, use of http without tls, 33
2ae8f7df344f85fb4431.py, use of http without tls, 35
2ae8f7df344f85fb4431.py, use of http without tls, 36
2ae8f7df344f85fb4431.py, use of http without tls, 37
2ae8f7df344f85fb4431.py, use of http without tls, 38
2ae8f7df344f85fb4431.py, use of http without tls, 39
2ae8f7df344f85fb4431.py, use of http without tls, 40
2ae8f7df344f85fb4431.py, use of http without tls, 41
2ae8f7df344f85fb4431.py, use of http without tls, 42
2ae8f7df344f85fb4431.py, use of http without tls, 43
2ae8f7df344f85fb4431.py, use of http without tls, 44
2ae8f7df344f85fb4431.py, use of shell arguments, 91
818005.py, ignoring except block, 104
5849790.py, sql injection, 95
1337245.py, use of http without tls, 30
1337245.py, use of http without tls, 39
3fe71eaf7bbaf9993e62.py, use of shell arguments, 17
3fe71eaf7bbaf9993e62.py, use of shell arguments, 18
beebf6d7bbacfbb91704f66c28dcc537.py, use of http without tls, 5
c9eb067454ba16cdc03818e8f2ec26b4.py, use of shell arguments, 197
c9eb067454ba16cdc03818e8f2ec26b4.py, hardcoded secret, 132
c9eb067454ba16cdc03818e8f2ec26b4.py, hardcoded secret, 151
10375900.py, use of shell arguments, 22
10375900.py, shell injection, 120
10375900.py, shell injection, 126
8659759.py, ignoring except block, 43
8659759.py, ignoring except block, 54
2297990.py, ignoring except block, 35
2742c5e147d49a804b408bfed3d32d07.py, use of shell arguments, 32
283e032fb1bb5f59256fd5b96f8b8e6c.py, use of http without tls, 71
072712792c46aa192797.py, shell injection, 68
d68467b87bc50e04c41e.py, hardcoded secret, 83
d68467b87bc50e04c41e.py, shell injection, 56
d68467b87bc50e04c41e.py, shell injection, 70
e4ab42297b1d9a78c164.py, hardcoded secret, 1
e4ab42297b1d9a78c164.py, hardcoded secret, 2
4448541.py, use of shell arguments, 35
756144.py, use of http without tls, 20
756144.py, use of http without tls, 26
756144.py, use of http without tls, 28
756144.py, use of http without tls, 28
09c421e3ff13e1245316.py, use of shell arguments, 7
09c421e3ff13e1245316.py, ignoring except block, 47
4573849.py, use of http without tls, 9
4573849.py, ignoring except block, 12
4573849.py, ignoring except block, 31
28bfea18037155b26aae.py, hardcoded secret, 218
28bfea18037155b26aae.py, use of shell arguments, 265
8d931c29cf4562851ece7e39b7ec3b3d.py, use of shell arguments, 8
7228939.py, hardcoded secret, 25
7228939.py, hardcoded secret, 26
7228939.py, DEBUG True in deployment, 117
31eee50b9aaebf387b380f70054575c5.py, use of tmp directory, 72
31eee50b9aaebf387b380f70054575c5.py, use of tmp directory, 73
08f51440d2cecc95d371.py, shell injection, 7
863301.py, hardcoded secret, 30
481baecf0674171597ea3c70a81a6333.py, hardcoded secret, 81
287370.py, use of http without tls, 19
287370.py, hardcoded secret, 45
2352388.py, DEBUG True in deployment, 19
3893296.py, hardcoded secret, 4
4730736.py, hardcoded secret, 45
4730736.py, use of shell arguments, 9
4730736.py, ignoring except block, 30
410b7803bc7bcd69fb20.py, hardcoded secret, 12
410b7803bc7bcd69fb20.py, hardcoded secret, 12
2879122.py, use of shell arguments, 19
5204e649f6a7b0541b232f1f0f9fc8ba.py, hardcoded secret, 136
11143783.py, shell injection, 24
11143783.py, shell injection, 24
11143783.py, shell injection, 26
11143783.py, shell injection, 26
11143783.py, use of shell arguments, 42
5311181.py, use of shell arguments, 23
5311181.py, ignoring except block, 16
1230498.py, use of shell arguments, 452
1230498.py, ignoring except block, 181
bc901de8b7e59cbeb190.py, hardcoded secret, 10
bc901de8b7e59cbeb190.py, hardcoded secret, 11
0b92b9ca837a0f5474c732876220db78.py, DEBUG True in deployment, 110
bf27da3f38272a76c801.py, DEBUG True in deployment, 33
bf27da3f38272a76c801.py, ignoring except block, 19
1716699.py, use of shell arguments, 86
1716699.py, use of shell arguments, 87
1716699.py, use of shell arguments, 88
1716699.py, use of shell arguments, 88
9a632bbb0acb445f4f3a.py, use of shell arguments, 23
9a632bbb0acb445f4f3a.py, shell injection, 25
0306734dfe17076dfd34e09660c198c0.py, ignoring except block, 123
0306734dfe17076dfd34e09660c198c0.py, ignoring except block, 143
0306734dfe17076dfd34e09660c198c0.py, ignoring except block, 156
0306734dfe17076dfd34e09660c198c0.py, ignoring except block, 216
5a3e7b3631b073db5529722f857f54aa.py, shell injection, 57
5a3e7b3631b073db5529722f857f54aa.py, ignoring except block, 59
5c422d709c93615341a21009f800222e.py, hardcoded secret, 20
5c422d709c93615341a21009f800222e.py, shell injection, 36
5c422d709c93615341a21009f800222e.py, shell injection, 48
5c422d709c93615341a21009f800222e.py, shell injection, 49
8049698.py, use of shell arguments, 5
6925159.py, hardcoded secret, 7
6925159.py, hardcoded secret, 15
27e6a9ecbe86fd02ee0d42dc19e79e7a.py, use of shell arguments, 19
8347533.py, use of http without tls, 120
562a8f71dc62264a04572770375f4bba.py, hardcoded secret, 14
122f258ba6eaa23dd9c5.py, hardcoded secret, 135
122f258ba6eaa23dd9c5.py, hardcoded secret, 178
2991773.py, use of http without tls, 21
2991773.py, use of shell arguments, 272
2991773.py, shell injection, 275
4057289.py, use of http without tls, 13
1701845.py, hardcoded secret, 36
